Name,Energy(J),Time(s),Power(W),OI(L1D),OI(L2),OI(L3),OI(DRAM),FP_ARITH_INST_RETIRED:SCALAR_DOUBLE,FP_ARITH_INST_RETIRED:SCALAR,MEM_UOPS_RETIRED:ALL_LOADS,MEM_UOPS_RETIRED:ALL_STORES,perf::PERF_COUNT_HW_CACHE_LL:MISS,perf::PERF_COUNT_HW_CACHE_LL:ACCESS,perf::PERF_COUNT_HW_CACHE_L1D:MISS,perf::PERF_COUNT_HW_CACHE_L1D:ACCESS,Performance(GFLOP/s)
2mm,3017.95556640625,104.76259,28.807569251640782,0.002095207136063422,0.02750977336360666,0.04828142723232845,0.30929611818650177,32835840000,32835840000,244873169004,26516166463,1658798704,10626446429,18650099120,244873163693,0.31343096805834986
3mm,4343.697143554688,149.643015,29.02706246298692,0.001735739752082261,0.021594616402011567,0.06766931424756743,0.2513356802803478,43200000000,43200000000,388883194198,43231090065,2685651314,9974979169,31257790712,388883183202,0.28868704630149294
adi,4693.742126464844,151.422289,30.997696293343203,0.004283544683201919,0.11546062562944506,0.14735177774451247,0.5832874150622915,135728136013,135728136013,495092798581,39948015070,3635861276,14392443428,18367751895,495092798616,0.8963550670733818
atax,0.5614013671875,0.022311,25.16253718737394,0.00208285352312822,0.1407546382207704,0.503993255653888,0.5067526064487596,15840000,15840000,118827360,15851658,488404,491078,1758379,118827367,0.7099636950383219
bicg,0.54083251953125,0.020495,26.3885103455111,0.0023142831920175914,0.24180170111160393,0.4985637335675408,0.5115433106669698,15840000,15840000,106944561,11890259,483830,496426,1023566,106944561,0.7728714320565991
cholesky,938.034912109375,29.362492,31.94670643450069,0.0017356035054755523,0.1722685585927517,0.25074656106331483,0.30701690007254606,21341334000,21341334000,192128180458,21357346054,1086123740,1329862082,1935688941,192128180600,0.726822982191021
correlation,3562.548889160156,124.479369,28.619593092250938,0.0017371815668790296,0.012011642779528391,0.012146738436041974,0.26997834426684475,20342407800,20342407800,182968833951,20348157261,1177317102,26167528308,26461836046,182968854802,0.16341991418674365
covariance,3566.6827392578125,124.548035,28.63700530689073,0.0017353975663705634,0.0119895325490543,0.012111940899086371,0.2696672010028027,20310165200,20310165200,182866644054,20335928159,1176807302,26201112926,26468615849,182866645315,0.16307094046084308
deriche,60.9166259765625,2.033014,29.96370215677929,0.00390606464850989,0.053844543223893065,0.05753453427157966,0.3379798021087426,1061683439,1061683439,4246935229,862780429,49082234,288327766,308086999,4246935273,0.5222214106740042
doitgen,442.5172119140625,14.589903,30.33037381496385,0.00183144105200721,0.19969293664132068,0.24807883100438655,68.4090619971904,8019000000,8019000000,68414364367,8093415557,1831583,505068790,627447706,68414364122,0.5496266836044078
durbin,1.43658447265625,0.060093,23.906020212940774,0.0020839043044538264,0.11618469368117765,947.3246626420455,inf,32011995,32011995,240024178,48020057,0,528,4305106,240024180,0.5327075532923968
fdtd-2d,1899.5994873046875,57.956345,32.776385179305,0.0026437846915083464,0.15201528828568456,0.19821276397539134,0.19896142112174475,57163205000,57163205000,337839569491,31198803058,4489187266,4506143097,5875560861,337839568023,0.986314871995465
floyd-warshall,21801.25695800781,680.652143,32.02995418763826,0.0007780382375158362,0.06989941132467684,0.14037331173893453,0.14165072941241663,196576165423,196563741190,3947502328048,351294731253,21682263613,21879575384,43938974562,3947503230561,0.28878736842528385
gemm,1097.7796630859375,34.354659,31.95431697010695,0.002466587794652713,0.24173779918297705,0.37925221763998773,0.3798942519463777,35884600000,35884600000,227316812455,23939606059,1475928820,1478427413,2319442292,227316812406,1.0445337268520116
gemver,6.9844970703125,0.230268,30.332035151703668,0.0028932395890666506,0.062194757317024056,0.0911409360545295,0.4186780854631234,160004000,160004000,864104891,96032066,5971324,27430731,40197319,864104898,0.6948599023746244
gesummv,1.05731201171875,0.037579,28.135714407481572,0.0023148503351036395,0.16592042217809394,0.2532331539131612,0.25335397356830014,31368400,31368400,211733444,23534059,1934571,1935494,2954014,211733451,0.8347321642406663
gramschmidt,5521.2891845703125,191.014949,28.905010908702817,0.0017359047028727276,0.009753319750457543,0.010949249594027715,0.6024528326764378,27045202600,27045202600,243435768494,27063933057,701434648,38594543580,43326918571,243435765757,0.14158683779247036
heat-3d,7185.63671875,225.174477,31.911417379466148,0.0039045955790986226,0.4614062522094311,0.625246589355363,1.8385018188823967,232871760000,232871760000,931881724816,31207179055,1979123008,5819497958,7885938330,931881721497,1.034183638849975
jacobi-1d,0.632080078125,0.024371,25.935746507119116,0.0031248143452807698,0.18769332694356017,696.6775092936803,inf,23988000,23988000,119947121,15995055,0,538,1996941,119947126,0.9842846005498338
jacobi-2d,2518.3848876953125,78.452253,32.10086124225537,0.0028933245547633117,0.15593080988686756,0.5958992268042322,0.6313971652515203,78288040000,78288040000,422783760613,31326411055,1937371107,2052781024,7844829549,422783756833,0.9979068415026908
lu,5085.698303222656,176.089611,28.881308070029505,0.0017356755038272244,0.02192407472254519,0.030406556911574987,0.25642155442838616,42658666000,42658666000,384024347948,42690678053,2599397924,21920984286,30402270777,384024349471,0.24225543890831813
ludcmp,3635.76953125,125.205644,29.038383694987424,0.002602375001770873,0.022247710191084544,0.031288158133714224,0.256899019609071,42690662000,42690662000,256320320758,42746704058,2596512804,21319298851,29982483052,256320320206,0.34096435780482864
mvt,4.94769287109375,0.198183,24.965273868564662,0.0020831572457873115,0.029618059718538394,0.040390275071909836,0.24920211712150622,64000000,64000000,480040579,64016058,4012807,24758435,33763184,480040574,0.322933854064173
nussinov,9039.1123046875,320.486223,28.204370908909553,0.0007094658226273764,0.00962199699641874,0.01398472721806119,0.13121801790894969,27732938751,27729160251,610696267691,55503709304,3301895089,30981521639,45028919577,610696266266,0.08652215995880734
seidel-2d,4657.567810058594,153.01309,30.43901544670847,0.003270251216691133,0.3747020631118438,1.119399842322406,1.139032657059684,143856036000,143856036000,687332689582,31976006054,1973385529,2007996140,5998767511,687332689008,0.940155093920396
symm,2181.8585815429688,74.029204,29.472943968747373,0.0027911320378242797,0.025735058819609687,0.042595959493344646,0.3272092891306879,26018200000,26018200000,145652147093,15613004058,1242429199,9543965668,15796908717,145652147405,0.35145859463786755
syr2k,2797.40625,96.270903,29.057650472022683,0.003347372746993783,0.03168264284218296,0.04140561583233032,0.39043386348983405,40578981300,40578981300,189416186749,13542370458,1623953868,15313057663,20012427182,189416187182,0.4215082650673797
syrk,1468.4385375976562,50.800255,28.906125325505872,0.002466301319046654,0.036427323840410336,0.06925557309033431,0.4635772519742444,20291181300,20291181300,128552705617,13542370457,683919900,4577966706,8703623390,128552705772,0.3994306977396078
trisolv,0.58502197265625,0.021528,27.17493369826505,0.00208253147194449,0.14568272167957028,0.2513166479184447,0.2519980928784331,16000000,16000000,120046205,16012055,992071,994761,1716058,120046205,0.7432181345224824
trmm,1501.3490600585938,52.577233,28.555117384336178,0.0017356270422257262,0.011280713913518262,0.01878313528995388,0.30224396652735674,10400000000,10400000000,93626106706,10410404056,537645141,8651377818,14405116666,93626105175,0.19780424732507318
